NAME,25th,75th,Total
Wilkes University,1050,1240,2000
Pace University,1060,1220,2000
Regis University,1050,1230,2000
Kent State University,1030,1210,2000
East Carolina University,1040,1190,2000
University of Massachusetts--Dartmouth,990,1190,2000
Marietta College,990,1210,2000
College of St. Benedict,1000,1200,2000
Meredith College,1000,1200,2000
Bryn Athyn College of the New Church,996,1203,2000
Sweet Briar College,990,1210,2000
LaGrange College,1020,1180,2000
University of North Alabama,1010,1190,2000
Coastal Carolina University,1030,1170,2000
Marywood University,1010,1190,2000
SUNY Brockport,1020,1180,2000
Lancaster Bible College,1000,1200,2000
Spring Hill College,1015,1185,2000
University of Tennessee--Chattanooga,990,1210,2000
John Paul the Great Catholic University,960,1240,2000
Southern Virginia University,960,1237,2000
Judson College,1030,1165,2000
Oklahoma Baptist University,990,1200,2000
California State University--Chico,1000,1190,2000
Stockton University,1000,1190,2000
Rider University,1000,1190,2000
California Baptist University,990,1200,2000
Winona State University,1000,1190,2000
Mississippi University for Women,1080,1110,2000
Reinhardt University,1000,1190,2000
Mount St. Mary College,1020,1170,2000
Roosevelt University,1010,1180,2000
Saginaw Valley State University,990,1200,2000
Texas State University,1010,1180,2000
Elmhurst University,993,1190,2000
Loras College,998,1183,2000
Wartburg College,1020,1160,2000
Maine Maritime Academy,1000,1180,2000
Lee University,960,1220,2000
Walsh University,990,1190,2000
Stephens College,970,1210,2000
Ursuline College,1020,1160,2000
Carlow University,1000,1180,2000
Slippery Rock University of Pennsylvania,1010,1170,2000
Dakota State University,960,1220,2000
Newman University,1000,1180,2000
Rockford University,990,1190,2000
University of Michigan--Flint,980,1200,2000
University of Northern Colorado,990,1190,2000
University of Minnesota--Crookston,998,1176,2000
University of the Cumberlands,995,1180,2000
Millikin University,960,1210,2000
Farmingdale State College--SUNY,1010,1160,2000
University of Washington--Tacoma,980,1190,2000
Hardin-Simmons University,1000,1170,2000
Huntington University,990,1180,2000
Alfred University,970,1200,2000
North Greenville University,850,1320,2000
Western Colorado University,1000,1170,2000
Point Park University,980,1190,2000
Millersville University of Pennsylvania,990,1180,2000
Northwest Missouri State University,976,1193,2000
Liberty University,970,1200,2000
Stephen F. Austin State University,990,1180,2000
Western Kentucky University,980,1190,2000
Northwood University,990,1180,2000
University of Mount Union,968,1200,2000
Benedictine University,980,1188,2000
University of North Carolina--Charlotte,1120,1270,2000
Nova Southeastern University,1080,1290,2000
University of Nevada--Reno,1070,1280,2000
Western New England University,1060,1250,2000
Azusa Pacific University,1020,1240,2000
George Fox University,1020,1230,2000
Gannon University,1020,1220,2000
University of Colorado Denver,1020,1210,2000
University of St. Francis,1030,1190,2000
Lincoln Memorial University,1003,1198,2000
Edgewood College,970,1220,2000
University of Indianapolis,990,1180,2000
Clarke University,930,1096,2000
Rocky Mountain College,990,1175,2000
Lubbock Christian University,955,1210,2000
Westfield State University,1000,1165,2000
Heidelberg University,990,1170,2000
McPherson College,990,1170,2000
Iona College,990,1170,2000
Anderson University (IN),1000,1160,2000
Lynn University,990,1170,2000
Concordia University Chicago,990,1170,2000
University of Southern Indiana,980,1180,2000
Becker College,980,1180,2000
Cleveland State University,960,1200,2000
Georgetown College,1015,1145,2000
Lindenwood University,1000,1160,2000
Louisiana State University--Shreveport,1020,1140,2000
Northern Illinois University,970,1190,2000
Virginia Wesleyan University,980,1180,2000
Muskingum University,976,1180,2000
West Virginia Wesleyan College,975,1180,2000
Cairn University,955,1200,2000
Southern Baptist Theological Seminary,950,1203,2000
Monmouth College,980,1170,2000
Franklin College,980,1170,2000
Randolph College,960,1190,2000
Texas Lutheran University,990,1160,2000
Sonoma State University,980,1170,2000
Kansas Wesleyan University,980,1170,2000
Piedmont College,970,1180,2000
Northern Michigan University,970,1180,2000
Fitchburg State University,1000,1150,2000
Central Connecticut State University,980,1170,2000
Purdue University--Fort Wayne,970,1180,2000
Youngstown State University,960,1190,2000
Lasell University,980,1170,2000
Bridgewater College,980,1170,2000
East Tennessee State University,970,1180,2000
Wingate University,980,1170,2000
Capitol Technology University,1000,1150,2000
College for Creative Studies,960,1190,2000
Huntingdon College,998,1150,2000
University of Saint Mary,975,1170,2000
Emory and Henry College,980,1160,2000
University of Pittsburgh at Bradford,980,1160,2000
Bethel University (IN),970,1170,2000
Humboldt State University,970,1170,2000
Lenoir-Rhyne University,960,1180,2000
SUNY--Fredonia,970,1170,2000
Delta State University,950,1190,2000
West Texas A&M University,970,1170,2000
Shippensburg University of Pennsylvania,970,1170,2000
Bridgewater State University,990,1150,2000
Bloomsburg University of Pennsylvania,990,1150,2000
Texas A&M University--Corpus Christi,980,1160,2000
University of Arkansas at Little Rock,950,1190,2000
University of Central Arkansas,970,1170,2000
Valdosta State University,1000,1140,2000
Pacific Union College,950,1190,2000
Austin Peay State University,958,1178,2000
Black Hills State University,958,1180,2000
Ohio Valley University,960,1175,2000
William Jessup University,960,1173,2000
Longwood University,980,1150,2000
Belmont Abbey College,950,1180,2000
Marymount University,950,1180,2000
Lake Superior State University,970,1160,2000
Madonna University,960,1170,2000
Waynesburg University,980,1150,2000
Malone University,940,1190,2000
Auburn University at Montgomery,990,1140,2000
Walla Walla University,920,1210,2000
Cornerstone University,950,1180,2000
Judson University,950,1180,2000
Mount St. Joseph University,990,1140,2000
Northern State University,930,1200,2000
Delaware Valley University,970,1160,2000
Shepherd University,970,1160,2000
Texas Woman's University,970,1160,2000
University of Hawaii--Hilo,960,1170,2000
Cabarrus College of Health Sciences,990,1140,2000
Manhattan Christian College,850,1280,2000
Carson-Newman University,960,1168,2000
Simpson University,966,1160,2000
SUNY College of Technology at Alfred,950,1170,2000
Hiram College,930,1190,2000
California State University--Monterey Bay,960,1160,2000
Toccoa Falls College,960,1160,2000
Eureka College,950,1170,2000
Central Washington University,960,1160,2000
CUNY--John Jay College of Criminal Justice,980,1140,2000
West Liberty University,820,1300,2000
Southern Wesleyan University,970,1150,2000
Texas A&M University--Texarkana,990,1130,2000
Salem State University,980,1140,2000
Aurora University,970,1150,2000
LIM College,970,1150,2000
Lincoln Christian University,940,1180,2000
North Park University,950,1167,2000
Oklahoma City University,1090,1280,2000
Utah State University,1050,1290,2000
University of Findlay,1052,1247,2000
West Virginia University,1050,1240,2000
Immaculata University,1015,1220,2000
Florida A&M University,1040,1170,2000
Shenandoah University,980,1190,2000
New Mexico State University,940,1160,2000
San Diego Christian College,973,1140,2000
Winthrop University,950,1160,2000
Trinity Christian College,950,1160,2000
Saint Leo University,960,1150,2000
San Francisco State University,950,1160,2000
Union College (NE),980,1130,2000
York College,950,1160,2000
King University,950,1160,2000
Coker College,950,1160,2000
Methodist University,960,1150,2000
Midway University,960,1150,2000
McNeese State University,970,1140,2000
Cedar Crest College,940,1170,2000
Minnesota State University--Moorhead,920,1190,2000
Kutztown University of Pennsylvania,970,1140,2000
Wilson College,980,1130,2000
Concordia University Texas,940,1170,2000
Eastern Nazarene College,920,1190,2000
Ferris State University,940,1170,2000
Louisiana College,940,1170,2000
Southeastern University,950,1160,2000
Trinity International University,960,1150,2000
Fresno Pacific University,968,1140,2000
Caldwell University,960,1148,2000
Henderson State University,978,1130,2000
Jacksonville University,900,1205,2000
Troy University,960,1145,2000
University of Saint Francis,955,1150,2000
Upper Iowa University,935,1170,2000
Keene State College,960,1140,2000
McMurry University,950,1150,2000
Quincy University,960,1140,2000
Chaminade University of Honolulu,970,1130,2000
California State University--San Marcos,960,1140,2000
Tarleton State University,960,1140,2000
University of Texas of the Permian Basin,970,1130,2000
Edinboro University of Pennsylvania,960,1140,2000
Avila University,990,1110,2000
Blackburn College,960,1140,2000
Franklin Pierce University,970,1130,2000
Indiana University Southeast,950,1150,2000
Texas A&M University--Commerce,960,1140,2000
Adrian College,940,1156,2000
Campbellsville University,940,1153,2000
Central College,915,1175,2000
Schreiner University,960,1130,2000
University of South Carolina--Aiken,950,1140,2000
Culver-Stockton College,950,1140,2000
Limestone University,960,1130,2000
CUNY--Lehman College,980,1110,2000
Mount Vernon Nazarene University,960,1130,2000
SUNY College--Oneonta,910,1180,2000
St. Thomas University,950,1140,2000
Framingham State University,960,1130,2000
University of Southern Maine,940,1150,2000
Montana State University,1090,1320,2000
St. Catherine University,1119,1263,2000
Harding University,1060,1300,2000
University of North Texas,1060,1260,2000
University of New England,1050,1240,2000
University of South Dakota,1030,1260,2000
Lesley University,938,1293,2000
Wayne State University,1010,1210,2000
Central Michigan University,1000,1200,2000
Florida College,960,1128,2000
Tusculum University,960,1125,2000
University of Virginia--Wise,950,1130,2000
Cottey College,970,1110,2000
Dominican University,950,1130,2000
Tennessee Wesleyan University,920,1160,2000
Central Methodist University -- College of Liberal Arts and Sciences,950,1130,2000
Emmanuel College (GA),930,1150,2000
University of Jamestown,950,1130,2000
Fontbonne University,930,1150,2000
Saint Xavier University,950,1130,2000
Thomas More University,960,1120,2000
Emporia State University,900,1178,2000
Northwestern State University of Louisiana,920,1160,2000
Alvernia University,950,1130,2000
Clarion University of Pennsylvania,950,1130,2000
Indiana University--Kokomo,950,1130,2000
Lourdes University,940,1140,2000
Mansfield University of Pennsylvania,950,1130,2000
Mary Baldwin University,950,1130,2000
Southwestern Assemblies of God University,950,1130,2000
Cleary University,930,1150,2000
Martin Methodist College,983,1093,2000
Woodbury University,946,1130,2000
Eastern Oregon University,940,1133,2000
Regent University,958,1113,2000
Maryville College,910,1160,2000
Erskine College,930,1140,2000
Hastings College,940,1130,2000
California State University--Sacramento,940,1130,2000
Ottawa University,950,1120,2000
Vanguard University of Southern California,950,1120,2000
Notre Dame of Maryland University,930,1140,2000
Southern Oregon University,920,1150,2000
Greenville University,920,1150,2000
Concordia College--New York,950,1120,2000
Husson University,930,1140,2000
Lamar University,950,1120,2000
Texas A&M University--Kingsville,940,1130,2000
University of Texas--El Paso,940,1130,2000
University of Ottawa,950,1120,2000
Georgian Court University,935,1130,2000
Menlo College,916,1150,2000
Truett McConnell University,920,1143,2000
East Texas Baptist University,960,1100,2000
Mount Saint Mary's University,930,1130,2000
Mount Aloysius College,940,1120,2000
California State University--Northridge,930,1130,2000
Columbia International University,940,1120,2000
Buena Vista University,920,1140,2000
Shorter University,920,1140,2000
Saint Peter's University,940,1120,2000
Chestnut Hill College,940,1120,2000
Abraham Baldwin Agricultural College,930,1130,2000
Clark Atlanta University,950,1110,2000
Crown College,900,1160,2000
Dominican College,940,1120,2000
Eastern Michigan University,890,1170,2000
Georgia Southwestern State University,940,1120,2000
Graceland University,950,1110,2000
Indiana University--South Bend,930,1130,2000
Montreat College,920,1140,2000
Young Harris College,930,1130,2000
University of Montana Western,940,1120,2000
York University,930,1130,2000
Presentation College,963,1093,2000
College of St. Scholastica,1050,1270,2000
University of Montana,1040,1260,2000
University of Nevada--Las Vegas,1030,1240,2000
University of Missouri--St. Louis,1020,1230,2000
Campbell University,1030,1210,2000
Southern Illinois University--Carbondale,1000,1210,2000
University of North Dakota,980,1230,2000
Old Dominion University,990,1200,2000
University of Memphis,970,1210,2000
Western Michigan University,990,1190,2000
University of North Carolina--Greensboro,990,1160,2000
Baker University,930,1175,2000
Bowling Green State University,880,1100,2000
Arizona Christian University,930,1125,2000
University of Nebraska--Kearney,935,1120,2000
North Central College,853,1200,2000
Lake Erie College,923,1130,2000
Catawba College,910,1140,2000
Howard Payne University,950,1100,2000
Mars Hill University,920,1130,2000
Greensboro College,910,1140,2000
Lander University,930,1120,2000
MidAmerica Nazarene University,910,1140,2000
Minot State University,920,1130,2000
Gwynedd Mercy University,940,1110,2000
Southern Connecticut State University,920,1130,2000
Curry College,940,1110,2000
Rosemont College,910,1140,2000
University of Charleston,906,1143,2000
Northeastern State University,918,1123,2000
Appalachian Bible College,910,1130,2000
Wesleyan College,930,1110,2000
Barton College,920,1120,2000
Newberry College,920,1120,2000
University of Hawaii--West Oahu,930,1110,2000
Brenau University,910,1130,2000
Tabor College,920,1120,2000
Bluefield State College,920,1120,2000
Wheeling University,910,1130,2000
Western Illinois University,930,1110,2000
Midwestern State University,940,1100,2000
Colorado State University--Pueblo,920,1120,2000
Concord University,920,1120,2000
Frostburg State University,930,1110,2000
East Central University,930,1110,2000
Indiana University East,920,1120,2000
Missouri Baptist University,930,1110,2000
Williams Baptist University,920,1120,2000
Calvary University,890,1150,2000
University of Hawaii--Maui College,930,1110,2000
University of Mount Olive,918,1116,2000
University of South Carolina--Beaufort,915,1120,2000
University of South Carolina--Upstate,920,1110,2000
Castleton University,920,1110,2000
Grand View University,920,1110,2000
Saint Mary-of-the-Woods College,920,1110,2000
Eastern Illinois University,920,1110,2000
Texas A&M International University,930,1100,2000
Pfeiffer University,900,1130,2000
Angelo State University,920,1110,2000
Lock Haven University of Pennsylvania,920,1110,2000
College of Mount St. Vincent,930,1100,2000
St. Thomas Aquinas College,910,1120,2000
East Stroudsburg University,910,1120,2000
Indiana State University,910,1120,2000
Texas Wesleyan University,930,1100,2000
Waldorf University,920,1110,2000
University of Baltimore,910,1115,2000
Holy Family University,935,1090,2000
Midland University,920,1105,2000
Midwestern Baptist Theological Seminary,960,1065,2000
Oakland City University,912,1110,2000
Southwestern Adventist University,910,1110,2000
Dean College,910,1110,2000
Wilmington College,930,1090,2000
Alderson Broaddus University,920,1100,2000
La Sierra University,900,1120,2000
Hope International University,930,1090,2000
Cumberland University,930,1090,2000
Ohio Dominican University,920,1100,2000
La Roche University,910,1110,2000
American International College,920,1100,2000
Bethany College (KS),890,1130,2000
Southern University and A&M College,930,1090,2000
University of Houston--Downtown,940,1080,2000
Johnson University (FL),910,1110,2000
SUNY College of Technology--Delhi,920,1090,2000
University of Maine--Fort Kent,900,1110,2000
Friends University,920,1090,2000
College of Coastal Georgia,910,1100,2000
Fisk University,890,1120,2000
Indiana University Northwest,910,1100,2000
Metropolitan State University of Denver,900,1110,2000
Texas A&M University--San Antonio,930,1080,2000
University of North Florida,1120,1280,2000
University of Alabama--Huntsville,1010,1380,2000
University of Missouri--Kansas City,1030,1340,2000
Dallas Baptist University,1090,1270,2000
Florida Atlantic University,1080,1240,2000
Long Island University,1060,1260,2000
Tennessee Technological University,1050,1260,2000
University of Akron,990,1250,2000
Sam Houston State University,1000,1140,2000
University of the Incarnate Word,950,1140,2000
William Carey University,930,1150,2000
North Carolina Agricultural and Technical State University,950,1110,2000
University of North Carolina--Pembroke,925,1080,2000
Kentucky Wesleyan College,830,1173,2000
SUNY College--Old Westbury,950,1053,2000
Union College (KY),936,1066,2000
Lewis-Clark State College,890,1110,2000
William Peace University,920,1080,2000
Sterling College (KS),930,1070,2000
University of North Texas--Dallas,920,1080,2000
Neumann University,910,1090,2000
California University of Pennsylvania,900,1100,2000
Felician University,920,1080,2000
Morgan State University,920,1080,2000
University of West Georgia,920,1080,2000
Life Pacific College,900,1096,2000
Concordia University (NE),890,1100,2000
California State University--San Bernardino,910,1080,2000
Davis and Elkins College,910,1080,2000
Valley City State University,900,1090,2000
Fairmont State University,900,1090,2000
Marian University (WI),900,1090,2000
Rhode Island College,890,1100,2000
Barry University,910,1080,2000
Colorado Mesa University,940,1050,2000
Our Lady of the Lake University,910,1080,2000
University of Bridgeport,900,1090,2000
Our Lady of the Lake College,910,1080,2000
Iowa Wesleyan University,928,1060,2000
SUNY College of Technology--Canton,900,1080,2000
Warner University,890,1090,2000
William Paterson University of New Jersey,890,1090,2000
Missouri Valley College,890,1090,2000
Wayland Baptist University,890,1090,2000
Art Academy of Cincinnati,880,1100,2000
University of Mobile,890,1087,2000
Nyack College,868,1108,2000
University of Puerto Rico--Aguadilla,871,1103,2000
Southwestern Christian University,895,1080,2000
Criswell College,888,1083,2000
California State University--Los Angeles,890,1080,2000
Bluffton University,870,1100,2000
Rochester University,870,1100,2000
Columbus State University,870,1100,2000
Kean University,890,1080,2000
Finlandia University,890,1080,2000
Purdue University--Northwest,930,1040,2000
Point University,880,1085,2000
Trinity Bible College and Graduate School,810,1155,2000
North Dakota State University,1083,1275,2000
South Dakota State University,1010,1260,2000
Portland State University,1010,1230,2000
D'Youville College,1030,1200,2000
Gardner-Webb University,970,1180,2000
University of Texas--Rio Grande Valley,950,1120,2000
Marshall University,910,1130,2000
Indiana University of Pennsylvania,910,1120,2000
Delaware State University,840,1010,2000
Bluefield College,898,1063,2000
Dakota Wesleyan University,900,1060,2000
Thiel College,860,1100,2000
North Carolina Wesleyan College,870,1090,2000
Middle Georgia State University,880,1080,2000
Kentucky Christian University,920,1040,2000
Nicholls State University,870,1090,2000
Alcorn State University,820,1140,2000
Centenary University,870,1090,2000
Oakwood University,942,1010,2000
SUNY Cobleskill,860,1090,2000
North Carolina Central University,900,1050,2000
Eastern Washington University,870,1080,2000
University of Dubuque,850,1100,2000
Adams State University,870,1080,2000
Bethany College (WV),890,1060,2000
Lakeland University,870,1080,2000
Medaille College,850,1100,2000
CUNY--York College,890,1050,2000
Prairie View A&M University,890,1050,2000
Webber International University,876,1060,2000
Haskell Indian Nations University,918,1020,2000
Elizabeth City State University,890,1040,2000
University of Arkansas--Pine Bluff,890,1040,2000
Notre Dame de Namur University,870,1060,2000
Eastern New Mexico University,860,1070,2000
Washington Adventist University,860,1070,2000
Life University,860,1070,2000
Defiance College,855,1070,2000
Chicago State University,905,1020,2000
Ferrum College,870,1053,2000
Indiana Tech,753,1168,2000
Blue Mountain College,890,1030,2000
Tuskegee University,860,1060,2000
Olivet College,850,1070,2000
West Virginia State University,880,1040,2000
Winston-Salem State University,890,1030,2000
Fayetteville State University,890,1030,2000
Bloomfield College,860,1060,2000
Notre Dame College of Ohio,860,1060,2000
University of Maryland Eastern Shore,870,1050,2000
Charles R. Drew University of Medicine and Science,850,1070,2000
Jackson State University,850,1068,2000
Brewton-Parker College,860,1055,2000
Christ College of Nursing and Health Sciences,881,1033,2000
Central Baptist College,880,1030,2000
Coppin State University,880,1030,2000
New Jersey City University,850,1060,2000
Governors State University,860,1045,2000
Fort Valley State University,833,1070,2000
Alice Lloyd College,870,1030,2000
Kuyper College,850,1050,2000
SUNY Buffalo State,860,1040,2000
Southwest Minnesota State University,865,1030,2000
Cardinal Stritch University,872,1023,2000
Bethel University (TN),820,1072,2000
Claflin University,830,1060,2000
SUNY Morrisville,850,1040,2000
Gordon State College,850,1040,2000
Tougaloo College,790,1100,2000
Alabama Agricultural and Mechanical University,850,1030,2000
Lincoln University (PA),860,1020,2000
University of West Alabama,860,1020,2000
Mid-Atlantic Christian University,828,1046,2000
Averett University,890,980,2000
South Carolina State University,860,1010,2000
Edward Waters College,830,1040,2000
Albertus Magnus College,810,1050,2000
Mount Marty University,810,1050,2000
Andrew College,820,1040,2000
Virginia State University,840,1010,2000
Grambling State University,830,1018,2000
Wesley College,820,1023,2000
Jacksonville State University,910,930,2000
Francis Marion University,810,1030,2000
Louisiana Tech University,870,970,2000
University of Science and Arts of Oklahoma,815,1010,2000
Kentucky State University,820,1003,2000
Texas Southern University,830,990,2000
Chowan University,810,1000,2000
Bennett College,800,1000,2000
Huston-Tillotson University,810,980,2000
Johnson C. Smith University,810,980,2000
Paine College,780,980,2000
Virginia Union University,782,970,2000
Oklahoma Wesleyan University,690,1039,2000
Bacone College,820,895,2000
St. Augustine's University,765,940,2000
Livingstone College,770,930,2000
Baptist College of Florida,830,870,2000
Albany State University,750,900,2000
Paul Quinn College,712,928,2000
Central State University,710,880,2000
Holy Names University,713,870,2000
Wilberforce University,731,850,2000
Central Penn College,660,910,2000
Lincoln College,700,810,2000